feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0044	0.0561574575659083	0.0516431924882629	0.0487540628385699	0.0433369447453955	0.0339472733838931	0.0521849042975804	0.0377392560491152	0.0388226796677501	0.030155290718671	0.0362946912242687	0.0303358613217768	0.0429758035391838	0.0288912964969303	0.0135427952329361	0.0243770314192849	0.00812567713976165	0.0263633080534489	0.0274467316720838	0.0335861321776815	0.0256410256410256	0.00920910075839653	0.0162513542795233	0.0120982304080896	0.0285301552907187	0.0319609967497291	0.0315998555435175	0.010653665583243	0.00938967136150235	0.0104730949801372	0.0243770314192849	0.0232936078006501	0.0243770314192849	0.00812567713976165	0.0241964608161791	0.00812567713976165	0.0245576020223908	0.00668111231491513	0.00577825929938606
22010-0045	0.0589224099796514	0.0583031053702557	0.0534371405821463	0.0551181102362205	0.0443245156153234	0.0519331151021853	0.0374236928249137	0.0493674245775458	0.0355657789967265	0.044766876050606	0.0342386976908785	0.0450322923117756	0.0339732814297089	0	0.0334424489073697	0	0.034150225603822	0.0345925860391047	0.0286649562063169	0.0324692559497479	0	0	0	0.0306998142086172	0.0391931345660444	0.0296381491639388	0	0	0	0.0284880120322038	0.0273378749004689	0.0262762098557905	0	0.0286649562063169	0	0.0239759355923206	0	0
22010-0046	0.0621856985158837	0.0542131730651294	0.050533545934012	0.0532319391634981	0.0388813933521403	0.0451367594750398	0.033729915368576	0.0512694713602355	0.0390040475898442	0.0459953391389672	0.0374095424996933	0.0459953391389672	0.0306635594259782	0.00159450509015086	0.0331166441800564	0.00208512204096651	0.0296823255243468	0.0318901018030173	0.0300502882374586	0.0299276339997547	0.00245308475407825	0.00367962713111738	0.00208512204096651	0.0315221390899055	0.0306635594259782	0.0275972034833803	0.00269839322948608	0.00257573899178216	0.00208512204096651	0.0336072611308721	0.0244081933030786	0.0291917085735312	0.00171715932785478	0.028087820434196	0.00208512204096651	0.0268612780571569	0.00122654237703913	0.000858579663927388
22010-0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0048	0.0493358633776091	0.0531309297912714	0.0398481973434535	0.0550284629981025	0.032258064516129	0.0170777988614801	0.047438330170778	0.0284629981024668	0.0683111954459203	0.0360531309297913	0.0531309297912714	0.0189753320683112	0.0265654648956357	0	0.0379506641366224	0	0.0550284629981025	0.0455407969639469	0.015180265654649	0.0569259962049336	0	0	0	0.047438330170778	0.0189753320683112	0.0379506641366224	0	0	0	0.0227703984819734	0.0360531309297913	0.0341555977229602	0	0.0341555977229602	0	0.032258064516129	0	0
22010-0049	0.0730742378403537	0.0516639515941354	0.0556202001396323	0.0528275541075169	0.035838957412148	0.050500349080754	0.0337444728880614	0.0500349080754014	0.0421224109844077	0.0460786595299046	0.034209913893414	0.0428205724924366	0.0377007214335583	0	0.0351407959041192	0	0.0274610193158017	0.0402606469629974	0.0239702117756574	0.0311845473586223	0	0	0	0.0286246218291832	0.0297882243425646	0.0395624854549686	0	0	0	0.0262974168024203	0.0251338142890389	0.026064696299744	0	0.0253665347917152	0	0.0349080754014429	0	0
22010-0050	0.057037293615056	0.0520725089481584	0.057268213832121	0.0481468652580533	0.0456067428703383	0.0523034291652234	0.0417965592887657	0.0397182773351807	0.0359080937536081	0.0426047800484933	0.0387945964669207	0.0372936150559982	0.0374090751645307	0.00207828195358504	0.0332525112573606	0	0.0360235538621406	0.0376399953815957	0.0330215910402956	0.0331370511488281	0	0	0	0.0354462533194781	0.0356771735365431	0.0318669899549706	0	0	0	0.0307123888696455	0.0258630643112805	0.027133125505138	0	0.0243620829003579	0	0.027825886156333	0	0
22010-0051	0	0.169491525423729	0.0677966101694915	0	0	0	0.186440677966102	0	0	0	0.0338983050847458	0	0	0	0	0	0	0	0	0.169491525423729	0	0	0	0	0.23728813559322	0.0169491525423729	0	0	0	0	0.11864406779661	0	0	0	0	0	0	0
22010-0052	0.0509803921568627	0.053781512605042	0.0588235294117647	0.0509803921568627	0.0403361344537815	0.0369747899159664	0.0481792717086835	0.0341736694677871	0.0375350140056022	0.0397759103641457	0.0515406162464986	0.0420168067226891	0.0352941176470588	0	0.0420168067226891	0	0.0403361344537815	0.0397759103641457	0.0397759103641457	0.0358543417366947	0	0	0	0.0280112044817927	0.0296918767507003	0.0235294117647059	0	0	0	0.0246498599439776	0.0330532212885154	0.0296918767507003	0	0.0313725490196078	0	0.0218487394957983	0	0
22010-0053	0.0477290223248653	0.0531177829099307	0.0577367205542725	0.0554272517321016	0.0454195535026944	0.0454195535026944	0.0492686682063126	0.0477290223248653	0.0431100846805235	0.037721324095458	0.0446497305619707	0.0369515011547344	0.0277136258660508	0	0.037721324095458	0	0.0392609699769053	0.0369515011547344	0.0223248652809854	0.0300230946882217	0	0	0	0.0338722093918399	0.0354118552732871	0.0207852193995381	0	0	0	0.0323325635103926	0.0338722093918399	0.0246343341031563	0	0.0254041570438799	0	0.0354118552732871	0	0
